Country1,Country2
Equatorial Guinea,Gabon
Greece,Albania
Greece,Bulgaria
Greece,Turkey
Greece,North Macedonia
Guatemala,Belize
Guatemala,El Salvador
Guatemala,Honduras
Guatemala,Mexico
French Guiana,Brazil
French Guiana,Suriname
Guyana,Brazil
Guyana,Suriname
Guyana,Venezuela
Hong Kong,China
Honduras,Guatemala
Honduras,El Salvador
Honduras,Nicaragua
Croatia,Bosnia and Herzegovina
Croatia,Hungary
Croatia,Montenegro
Croatia,Serbia
Croatia,Slovenia
Haiti,Dominican Republic
Hungary,Austria
Hungary,Croatia
Hungary,Romania
Hungary,Serbia
Hungary,Slovakia
Hungary,Slovenia
Hungary,Ukraine
Indonesia,Timor-Leste
Indonesia,Malaysia
Indonesia,Papua New Guinea
India,Bangladesh
India,Bhutan
India,Myanmar
India,China
India,Nepal
India,Pakistan
Ireland,United Kingdom
Iran,Afghanistan
Iran,Armenia
Iran,Azerbaijan
Iran,Iraq
Iran,Pakistan
Iran,Turkey
Iran,Turkmenistan
Iraq,Iran
Iraq,Jordan
Iraq,Kuwait
Iraq,Saudi Arabia
Iraq,Syria
Iraq,Turkey
Israel,Egypt
Israel,Jordan
Israel,Lebanon
Israel,Palestine
Israel,Syria
Italy,Austria
Italy,France
Italy,San Marino
Italy,Slovenia
Italy,Switzerland
Italy,Vatican City
Jordan,Iraq
Jordan,Israel
Jordan,Palestine
Jordan,Saudi Arabia
Jordan,Syria
Kazakhstan,China
Kazakhstan,Kyrgyzstan
Kazakhstan,Russia
Kazakhstan,Turkmenistan
Kazakhstan,Uzbekistan
Kenya,Ethiopia
Kenya,Somalia
Kenya,South Sudan
Kenya,Tanzania
Kenya,Uganda
Kyrgyzstan,China
Kyrgyzstan,Kazakhstan
Kyrgyzstan,Tajikistan
Kyrgyzstan,Uzbekistan
Cambodia,Laos
Cambodia,Thailand
Cambodia,Vietnam
South Korea,North Korea
Kosovo,Albania
Kosovo,North Macedonia
Kosovo,Montenegro
Kosovo,Serbia
Kuwait,Iraq
Kuwait,Saudi Arabia
Laos,Myanmar
Laos,Cambodia
Laos,China
Laos,Thailand
Laos,Vietnam
Lebanon,Israel
Lebanon,Syria
Liberia,Guinea
Liberia,Ivory Coast
Liberia,Sierra Leone
Libya,Algeria
Libya,Chad
Libya,Egypt
Libya,Niger
Libya,Sudan
Libya,Tunisia
Liechtenstein,Austria
Liechtenstein,Switzerland
Sri Lanka,India
Lesotho,South Africa
Lithuania,Belarus
Lithuania,Latvia
Lithuania,Poland
Lithuania,Russia
Luxembourg,Belgium
Luxembourg,France
Luxembourg,Germany
Latvia,Belarus
Latvia,Estonia
Latvia,Lithuania
Latvia,Russia
Macau,China
Saint Martin,Sint Maarten
Morocco,Algeria
Morocco,Western Sahara
Morocco,Spain
Monaco,France
Moldova,Romania
Moldova,Ukraine
Mexico,Belize
Mexico,Guatemala
Mexico,United States
North Macedonia,Albania
North Macedonia,Bulgaria
North Macedonia,Greece
North Macedonia,Kosovo
North Macedonia,Serbia
Mali,Algeria
Mali,Burkina Faso
Mali,Guinea
Mali,Ivory Coast
Mali,Mauritania
Mali,Niger
Mali,Senegal
Myanmar,Bangladesh
Myanmar,China
Myanmar,India
Myanmar,Laos
Myanmar,Thailand
Montenegro,Albania
Montenegro,Bosnia and Herzegovina
Montenegro,Croatia
Montenegro,Kosovo
Montenegro,Serbia
Mongolia,China
Mongolia,Russia
Mozambique,Malawi
Mozambique,South Africa
Mozambique,Eswatini
Mozambique,Tanzania
Mozambique,Zambia
Mozambique,Zimbabwe
Mauritania,Algeria
Mauritania,Mali
Mauritania,Senegal
Mauritania,Western Sahara
Malawi,Mozambique
Malawi,Tanzania
Malawi,Zambia
Malaysia,Brunei
Malaysia,Indonesia
Malaysia,Thailand
Namibia,Angola
Namibia,Botswana
Namibia,South Africa
Namibia,Zambia
Niger,Algeria
Niger,Benin
Niger,Burkina Faso
Niger,Chad
Niger,Libya
Niger,Mali
Niger,Nigeria
Nigeria,Benin
Nigeria,Cameroon
Nigeria,Chad
Nigeria,Niger
Nicaragua,Costa Rica
Nicaragua,Honduras
Netherlands,Belgium
Netherlands,Germany
Norway,Finland
Norway,Sweden
Norway,Russia
Nepal,China
Nepal,India
Oman,Saudi Arabia
Oman,United Arab Emirates
Oman,Yemen
Pakistan,Afghanistan
Pakistan,China
Pakistan,India
Pakistan,Iran
Panama,Colombia
Panama,Costa Rica
Peru,Bolivia
Peru,Brazil
Peru,Chile
Peru,Colombia
Peru,Ecuador
Papua New Guinea,Indonesia
Poland,Belarus
Poland,Czechia
Poland,Germany
Poland,Lithuania
Poland,Russia
Poland,Slovakia
Poland,Ukraine
North Korea,China
North Korea,South Korea
North Korea,Russia
Portugal,Spain
Paraguay,Argentina
Paraguay,Bolivia
Paraguay,Brazil
Palestine,Israel
Palestine,Egypt
Palestine,Jordan
Qatar,Saudi Arabia
Romania,Bulgaria
Romania,Hungary
Romania,Moldova
Romania,Serbia
Romania,Ukraine
Russia,Azerbaijan
Russia,Belarus
Russia,China
Russia,Estonia
Russia,Finland
Russia,Georgia
Russia,Kazakhstan
Russia,North Korea
Russia,Latvia
Russia,Lithuania
Russia,Mongolia
Russia,Norway
Russia,Poland
Russia,Ukraine
Rwanda,Burundi
Rwanda,DR Congo
Rwanda,Tanzania
Rwanda,Uganda
Saudi Arabia,Iraq
Saudi Arabia,Jordan
Saudi Arabia,Kuwait
Saudi Arabia,Oman
Saudi Arabia,Qatar
Saudi Arabia,United Arab Emirates
Saudi Arabia,Yemen
Sudan,Central African Republic
Sudan,Chad
Sudan,Egypt
Sudan,Eritrea
Sudan,Ethiopia
Sudan,Libya
Sudan,South Sudan
Senegal,Gambia
Senegal,Guinea
Senegal,Guinea-Bissau
Senegal,Mali
Senegal,Mauritania
Sierra Leone,Guinea
Sierra Leone,Liberia
El Salvador,Guatemala
El Salvador,Honduras
San Marino,Italy
Somalia,Djibouti
Somalia,Ethiopia
Somalia,Kenya
Serbia,Bosnia and Herzegovina
Serbia,Bulgaria
Serbia,Croatia
Serbia,Hungary
Serbia,Kosovo
Serbia,North Macedonia
Serbia,Montenegro
Serbia,Romania
South Sudan,Central African Republic
South Sudan,DR Congo
South Sudan,Ethiopia
South Sudan,Kenya
South Sudan,Sudan
South Sudan,Uganda
Suriname,Brazil
Suriname,French Guiana
Suriname,Guyana
Slovakia,Austria
Slovakia,Czechia
Slovakia,Hungary
Slovakia,Poland
Slovakia,Ukraine
Slovenia,Austria
Slovenia,Croatia
Slovenia,Italy
Slovenia,Hungary
Sweden,Finland
Sweden,Norway
Eswatini,Mozambique
Eswatini,South Africa
Sint Maarten,Saint Martin
Syria,Iraq
Syria,Israel
Syria,Jordan
Syria,Lebanon
Syria,Turkey
Chad,Cameroon
Chad,Central African Republic
Chad,Libya
Chad,Niger
Chad,Nigeria
Chad,Sudan
Togo,Benin
Togo,Burkina Faso
Togo,Ghana
Thailand,Myanmar
Thailand,Cambodia
Thailand,Laos
Thailand,Malaysia
Tajikistan,Afghanistan
Tajikistan,China
Tajikistan,Kyrgyzstan
Tajikistan,Uzbekistan
Turkmenistan,Afghanistan
Turkmenistan,Iran
Turkmenistan,Kazakhstan
Turkmenistan,Uzbekistan
Timor-Leste,Indonesia
Tunisia,Algeria
Tunisia,Libya
Turkey,Armenia
Turkey,Azerbaijan
Turkey,Bulgaria
Turkey,Georgia
Turkey,Greece
Turkey,Iran
Turkey,Iraq
Turkey,Syria
Tanzania,Burundi
Tanzania,DR Congo
Tanzania,Kenya
Tanzania,Malawi
Tanzania,Mozambique
Tanzania,Rwanda
Tanzania,Uganda
Tanzania,Zambia
Uganda,DR Congo
Uganda,Kenya
Uganda,Rwanda
Uganda,South Sudan
Uganda,Tanzania
Ukraine,Belarus
Ukraine,Hungary
Ukraine,Moldova
Ukraine,Poland
Ukraine,Romania
Ukraine,Russia
Ukraine,Slovakia
Uruguay,Argentina
Uruguay,Brazil
United States,Canada
United States,Mexico
Uzbekistan,Afghanistan
Uzbekistan,Kazakhstan
Uzbekistan,Kyrgyzstan
Uzbekistan,Tajikistan
Uzbekistan,Turkmenistan
Vatican City,Italy
Venezuela,Brazil
Venezuela,Colombia
Venezuela,Guyana
Vietnam,Cambodia
Vietnam,China
Vietnam,Laos
Yemen,Oman
Yemen,Saudi Arabia
South Africa,Botswana
South Africa,Lesotho
South Africa,Mozambique
South Africa,Namibia
South Africa,Eswatini
South Africa,Zimbabwe
Zambia,Angola
Zambia,Botswana
Zambia,DR Congo
Zambia,Malawi
Zambia,Mozambique
Zambia,Namibia
Zambia,Tanzania
Zambia,Zimbabwe
Zimbabwe,Botswana
Zimbabwe,Mozambique
Zimbabwe,South Africa
Zimbabwe,Zambia
