Order,Label,Name,Absolute Magnitude,Diameter (km),Mass (x10^15 kg),Semi-Major Axis (m),Orbital Period (s),Inclination,Eccentricity,Position,Discovery Year,Discoverer
69,XLV,Kari,14.8,6,0.23,2.20E+10,1.05E+08,149.188,0.3745,Norse (Skathi) group,2006,Sheppard et al.
70,,S/2004 S 28,15.8,4,0.05,2.21E+10,1.06E+08,170.617,0.1249,Norse group,2019 (2004),Sheppard et al.
71,XLVI,Loge,15.3,5,0.15,2.26E+10,1.10E+08,166.811,0.1584,Norse group,2006,Sheppard et al.
72,LXVI,S/2004 S 38,15.9,4,0.05,2.26E+10,1.10E+08,154.654,0.4084,Norse group,2019 (2004),Sheppard et al.
73,XLI,Fenrir,15.9,4,0.05,2.28E+10,1.11E+08,162.874,0.0949,Norse group,2004,Sheppard et al.
74,XIX,Ymir,12.3,19,3.97,2.28E+10,1.11E+08,172.157,0.3431,Norse group,2000,Gladman et al.
75,XLVIII,Surtur,15.8,6,0.15,2.31E+10,1.13E+08,166.008,0.3591,Norse group,2006,Sheppard et al.
76,LXIII,S/2004 S 33,15.9,4,0.05,2.31E+10,1.13E+08,159.866,0.4113,Norse group,2019 (2004),Sheppard et al.
77,,S/2004 S 24,16,3,0.03,2.33E+10,1.15E+08,36.24,0.04,Gallic group?[k],2019 (2004),Sheppard et al.
78,,S/2004 S 21,16.3,3,0.03,2.34E+10,1.15E+08,156.2,0.3156,Norse group,2019 (2004),Sheppard et al.
79,,S/2004 S 39,16.3,3,0.03,2.35E+10,1.16E+08,166.578,0.0979,Norse group,2019 (2004),Sheppard et al.
80,,S/2004 S 36,16.1,3,0.03,2.36E+10,1.17E+08,155.188,0.7139,Norse group[l],2019 (2004),Sheppard et al.
81,XLII,Fornjot,14.9,6,0.15,2.45E+10,1.24E+08,167.847,0.1613,Norse group,2004,Sheppard et al.
82,LXIV,S/2004 S 34,16.1,3,0.03,2.49E+10,1.26E+08,166.039,0.2015,Norse group,2019 (2004),Sheppard et al.
83,LVIII,S/2004 S 26,15.8,4,0.05,2.67E+10,1.41E+08,171.575,0.1726,Norse group,2019 (2004),Sheppard et al.
